emoji,common_name,scientific_name
🐠,Fancy Guppy,Poecilia reticulata
🦈,Dumbo Halfmoon Betta,Betta splendens
🦈,Galaxy Joi Plakat Betta,Betta splendens
🐍,Kuhli Loach,Pangio kuhlii
🐟,Neon Tetra,Paracheirodon innesi
🐟,Galaxy Rasbora,Danio margaritatus
🐝,Honey Gourami,Trichogaster chuna
🦐,Yellow Shrimp,Neocaridina davidi
🦐,Red Shrimp,Neocaridina davidi
🦐,Blue Shrimp,Neocaridina davidi
🦞,Amano Shrimp,Caridina multidentata
🐌,Ramshorn Snail,Planorbarius corneus
🐌,Pink Ramshorn Snail,Planorbarius corneus
🐌,Golden Mystery Snail,Pomacea bridgesii
🐌,Olive Jade Mystery Snail,Pomacea bridgesii
🐌,Purple Mystery Snail,Pomacea bridgesii
🐌,Malaysian Trumpet Snail,Melanoides tuberculata
🐌,Assasin Snail,Anentome helena
🍁,Super Red Ludwigia,Ludwigia natans super red
🌿,Hornwort,Ceratophyllum demersum
🍀,Water Lettuce,Pistia stratiotes
🌱,Duckweed,Lemna minor
🥬,Dwarf Sagitaria,Sagittaria subulata
🌿,Micro Sword,Lilaeopsis brasiliensis
